Time(Seconds),Length(Seconds),Label(string),Confidence(double)
0.4,0.1,cough,0.9067678714106486
0.7000000000000001,0.1,cough,0.9972712868001259
0.9,0.1,cough,0.9633085248414348
1.0,0.1,cough,0.949040054325889
1.1,0.1,cough,0.9875775820279517
1.2000000000000002,0.1,cough,0.6706467869879298
1.3,0.1,cough,0.9576646762998237
2.5,0.1,cough,0.9999924904989754
2.6,0.1,cough,0.6515603824447991
2.7,0.1,cough,0.9458244152497339
2.9000000000000004,0.1,cough,0.996987205324623
3.1,0.1,cough,0.6646273287875104
