Time(Seconds),Length(Seconds),Label(string),Confidence(double)
0.8,0.1,cough,0.8801877603002699
2.1,0.1,cough,0.7246641775302717
2.6,0.1,cough,0.9698320302622812
3.3000000000000003,0.1,cough,0.7855232084140363
3.6,0.1,cough,0.7469158132948382
3.8000000000000003,0.1,cough,0.962966316999245
4.800000000000001,0.1,cough,0.8243999398674764
5.1000000000000005,0.1,cough,0.8066081405421772
5.800000000000001,0.1,cough,0.7771606404092358
6.0,0.1,cough,0.9215369663858987
6.800000000000001,0.1,cough,0.6603995056233275
